"Etiqueta","Homes","Dones"
"0 anys",28421,26582
"1 any",29432,27626
"2 anys",30698,28893
"3 anys",31297,29925
"4 anys",32177,30942
"5 anys",33996,32542
"6 anys",36140,34408
"7 anys",38204,36175
"8 anys",39764,37495
"9 anys",40901,38257
"10 anys",41055,38495
"11 anys",42152,39571
"12 anys",43983,41282
"13 anys",45204,42336
"14 anys",46195,42803
"15 anys",47243,43933
"16 anys",47410,44049
"17 anys",47211,43251
"18 anys",47959,43549
"19 anys",48078,43993
"20 anys",47848,43952
"21 anys",47501,43152
"19 anys",48078,43993
"23 anys",47792,44054
"24 anys",48099,44916
"25 anys",47916,44611
"26 anys",48395,45330
"27 anys",48873,46115
"28 anys",49160,46545
"29 anys",49850,47673
"30 anys",50708,48526
"31 anys",51705,49492
"32 anys",51912,49714
"33 anys",51686,49712
"34 anys",51808,50298
"35 anys",51877,50817
"36 anys",52144,51047
"37 anys",52016,51466
"38 anys",52703,52653
"39 anys",53998,53763
"40 anys",54993,54962
"41 anys",57258,56838
"42 anys",60025,58953
"43 anys",62427,61377
"44 anys",64717,63537
"45 anys",67428,65498
"46 anys",69577,67211
"47 anys",70370,67925
"48 anys",70660,68129
"49 anys",70151,67517
"50 anys",68177,65941
"51 anys",66110,64346
"52 anys",64448,62803
"53 anys",62659,61228
"54 anys",60678,59816
"55 anys",58873,58455
"56 anys",58023,58017
"57 anys",56915,57241
"58 anys",55296,56166
"59 anys",54455,55921
"60 anys",52197,54426
"61 anys",49219,52174
"62 anys",47267,50852
"63 anys",45945,50194
"64 anys",44986,49725
"65 anys",43733,48801
"66 anys",42528,47708
"67 anys",40183,45558
"68 anys",37963,43476
"69 anys",36471,42256
"70 anys",35387,41335
"71 anys",34776,40900
"72 anys",33090,39477
"73 anys",30985,37664
"74 anys",30637,37695
"75 anys",31408,39296
"76 anys",30125,38215
"77 anys",27199,34856
"78 anys",26111,34169
"79 anys",25061,33492
"80 anys",22943,31362
"81 anys",20162,27845
"82 anys",17171,24202
"83 anys",17628,25375
"84 anys",14519,21292
"85 anys",10414,16312
"86 anys",11512,18918
"87 anys",11634,20329
"88 anys",10383,19001
"89 anys",8795,16639
"90 anys",7320,14952
"91 anys",6076,13265
"92 anys",4837,11243
"93 anys",3638,9331
"94 anys",2650,7317
"95 anys",1885,5465
"96 anys",1304,4137
"97 anys",863,3028
"98 anys",575,2187
"99 anys",367,1496
"100 anys o més",439,2416
